# arch	numCUs	testVector	perfConfig (exhaustive)
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 384 -n 768 -k 3072	16,64,16,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 384 -n 768 -k 768	32,32,32,16,16,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB true -g 12 -m 384 -n 384 -k 64	64,64,4,16,64,16,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 1 -n 768 -k 768	64,16,32,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 16 -m 384 -n 64 -k 384	16,64,16,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 1 -n 1024 -k 1024	32,32,32,16,16,16,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 384 -n 1024 -k 1024	64,64,16,32,32,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 384 -n 1024 -k 4096	64,64,16,32,32,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 384 -n 3072 -k 1024	64,64,16,32,32,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 384 -n 4096 -k 1024	128,64,16,32,64,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB true -g 16 -m 384 -n 384 -k 64	128,32,4,32,32,16,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 24576 -n 2 -k 768	16,16,32,16,16,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 24576 -n 3072 -k 768	64,128,16,64,32,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 24576 -n 768 -k 3072	128,128,8,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 24576 -n 768 -k 768	64,128,16,64,32,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 64 -m 384 -n 2304 -k 768	128,128,8,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 768 -m 384 -n 64 -k 384	64,64,16,64,16,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB true -g 768 -m 384 -n 384 -k 64	32,128,8,32,32,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 64 -n 768 -k 768	32,32,16,16,16,16,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 24576 -n 1024 -k 1024	128,128,8,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 24576 -n 1024 -k 4096	128,128,8,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 24576 -n 4096 -k 1024	128,256,16,64,128,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 64 -m 384 -n 3072 -k 1024	128,128,16,64,64,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB true -g 1024 -m 384 -n 384 -k 64	32,128,8,32,32,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 1024 -n 1024 -k 1024	64,64,16,32,32,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 2048 -n 2048 -k 2048	64,64,16,32,32,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 4096 -n 4096 -k 4096	128,128,8,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 8192 -n 8192 -k 8192	128,128,8,64,64,8,1,1
# arch	numCUs	testVector	perfConfig (exhaustive)
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i8 -transA false -transB false -g 64 -m 1024 -n 384 -k 1024	128,128,16,64,64,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i8 -transA false -transB false -g 64 -m 1024 -n 384 -k 4096	128,128,16,64,64,4,1,1
gfx908:sramecc+:xnack-	120	-t i8 -out_datatype i8 -transA false -transB false -g 64 -m 2 -n 384 -k 1024	16,32,32,16,16,4,1,1
